log_balance,balance_shifted,age,age_squared,was_contacted_before,has_debt,financial_stress,treatment,previous,net_balance_indicator,day,month_num,month_mar,month_oct,month_sep,month_dec,marital_single,education_tertiary,marital_married,pdays,deposit,deposit_numeric
9.12598002335811,9191,59,3481,0,1,0,0,0,1,5,5,False,False,False,False,False,False,True,-1,yes,1
8.838261682885651,6893,56,3136,0,0,0,0,0,1,5,5,False,False,False,False,False,False,True,-1,yes,1
9.001839097398843,8118,41,1681,0,1,0,0,0,1,5,5,False,False,False,False,False,False,True,-1,yes,1
9.140347000155648,9324,55,3025,0,1,0,0,0,1,5,5,False,False,False,False,False,False,True,-1,yes,1
8.858226439365012,7032,54,2916,0,0,0,0,0,1,5,5,False,False,False,False,False,True,True,-1,yes,1
8.831711917821577,6848,42,1764,0,1,1,0,0,0,5,5,False,False,False,False,True,True,False,-1,yes,1
8.946114375560743,7678,56,3136,0,1,1,0,0,1,6,5,False,False,False,False,False,True,True,-1,yes,1
8.9082888855571,7393,60,3600,0,1,0,0,0,1,6,5,False,False,False,False,False,False,False,-1,yes,1
8.831857935197906,6849,37,1369,0,1,0,0,0,1,6,5,False,False,False,False,False,False,True,-1,yes,1
9.387481868728596,11938,28,784,0,1,0,0,0,1,6,5,False,False,False,False,True,False,False,-1,yes,1
8.846209127360996,6948,38,1444,0,1,0,0,0,1,7,5,False,False,False,False,True,False,False,-1,yes,1
8.875846177738598,7157,30,900,0,1,0,0,0,1,7,5,False,False,False,False,False,False,True,-1,yes,1
8.860357273327022,7047,29,841,0,1,1,0,0,1,7,5,False,False,False,False,False,True,True,-1,yes,1
8.896724917497897,7308,46,2116,0,1,0,0,0,1,7,5,False,False,False,False,True,True,False,-1,yes,1
8.929435283803425,7551,31,961,0,1,0,0,0,1,8,5,False,False,False,False,True,True,False,-1,yes,1
9.276596167753247,10685,35,1225,0,1,0,0,0,1,8,5,False,False,False,False,False,True,False,-1,yes,1
8.917176635955164,7459,32,1024,0,1,0,0,0,1,8,5,False,False,False,False,True,False,False,-1,yes,1
8.830543010616596,6840,49,2401,0,1,1,0,0,0,8,5,False,False,False,False,False,False,True,-1,yes,1
8.839711378703475,6903,41,1681,0,1,0,0,0,1,8,5,False,False,False,False,False,False,True,-1,yes,1
8.855948534052018,7016,49,2401,0,1,1,0,0,1,8,5,False,False,False,False,False,False,False,-1,yes,1
8.94023623179847,7633,28,784,0,1,0,0,0,1,8,5,False,False,False,False,False,False,False,-1,yes,1
9.09549053029724,8915,43,1849,0,1,0,0,0,1,8,5,False,False,False,False,True,True,False,-1,yes,1
8.886823846515187,7236,43,1849,0,1,0,0,0,1,8,5,False,False,False,False,False,True,False,-1,yes,1
8.803273982501045,6656,43,1849,0,1,1,0,0,0,8,5,False,False,False,False,False,False,True,-1,yes,1
8.885855993000296,7229,37,1369,0,1,0,0,0,1,8,5,False,False,False,False,True,False,False,-1,yes,1
8.837536046107568,6888,35,1225,0,1,0,0,0,1,9,5,False,False,False,False,True,False,False,-1,yes,1
8.834919385216395,6870,31,961,0,1,0,0,0,1,9,5,False,False,False,False,True,True,False,-1,yes,1
8.832149906002899,6851,43,1849,0,1,0,0,0,1,9,5,False,False,False,False,True,False,False,-1,yes,1
8.875566691990551,7155,31,961,0,1,0,0,0,1,9,5,False,False,False,False,False,False,True,-1,yes,1
8.936824154997302,7607,28,784,0,1,0,0,0,1,9,5,False,False,False,False,True,False,False,-1,yes,1
8.831565879121063,6847,32,1024,0,1,1,0,0,0,9,5,False,False,False,False,False,False,True,-1,yes,1
8.841158975945264,6913,60,3600,0,1,0,0,0,1,9,5,False,False,False,False,False,False,True,-1,yes,1
8.84361509218395,6930,26,676,0,1,0,0,0,1,9,5,False,False,False,False,True,False,False,-1,yes,1
8.833171133022866,6858,40,1600,0,1,0,0,0,1,9,5,False,False,False,False,False,False,True,-1,yes,1
8.887100204123687,7238,33,1089,0,1,0,0,0,1,9,5,False,False,False,False,False,False,False,-1,yes,1
8.876125585396185,7159,32,1024,0,0,0,0,0,1,12,5,False,False,False,False,True,True,False,-1,yes,1
8.89041055197428,7262,35,1225,0,0,0,0,0,1,13,5,False,False,False,False,False,False,True,-1,yes,1
8.832441791585824,6853,33,1089,0,1,0,0,0,1,13,5,False,False,False,False,False,False,False,-1,yes,1
8.848939995030118,6967,38,1444,0,1,0,0,0,1,13,5,False,False,False,False,False,True,True,-1,yes,1
8.832295859444011,6852,23,529,0,1,0,0,0,1,13,5,False,False,False,False,True,False,False,-1,yes,1
9.000853147109458,8110,60,3600,0,1,1,0,0,1,13,5,False,False,False,False,False,False,True,-1,yes,1
9.082166033252674,8797,48,2304,0,1,0,0,0,1,13,5,False,False,False,False,False,True,True,-1,yes,1
8.77230041793584,6453,45,2025,0,1,1,0,0,0,13,5,False,False,False,False,False,True,False,-1,yes,1
8.98882050177807,8013,36,1296,0,1,0,0,0,1,13,5,False,False,False,False,False,False,True,-1,yes,1
9.114710140960932,9088,52,2704,0,1,0,0,0,1,13,5,False,False,False,False,False,False,True,-1,yes,1
8.87458787627932,7148,35,1225,0,1,0,0,0,1,13,5,False,False,False,False,False,False,False,-1,yes,1
9.223552703448318,10133,43,1849,0,1,0,0,0,1,13,5,False,False,False,False,False,False,True,-1,yes,1
9.28461261635077,10771,52,2704,0,1,0,0,0,1,14,5,False,False,False,False,False,False,True,-1,yes,1
9.022925868116218,8291,53,2809,0,1,0,0,0,1,14,5,False,False,False,False,False,False,False,-1,yes,1
8.835210463664092,6872,48,2304,0,1,0,0,0,1,14,5,False,False,False,False,False,False,False,-1,yes,1
9.04381342108087,8466,41,1681,0,1,0,0,0,1,14,5,False,False,False,False,True,False,False,-1,yes,1
8.90449432889673,7365,39,1521,0,1,1,0,0,1,14,5,False,False,False,False,False,True,False,-1,yes,1
9.032289682032873,8369,59,3481,0,1,1,0,0,1,14,5,False,False,False,False,False,False,True,-1,yes,1
9.176886995716963,9671,41,1681,0,1,0,0,0,1,14,5,False,False,False,False,False,False,True,-1,yes,1
9.018332049592685,8253,48,2304,0,1,0,0,0,1,14,5,False,False,False,False,False,False,True,-1,yes,1
9.033961124637857,8383,40,1600,0,1,0,0,0,1,14,5,False,False,False,False,False,False,True,-1,yes,1
9.041211408968211,8444,48,2304,0,1,0,0,0,1,14,5,False,False,False,False,False,False,True,-1,yes,1
9.034795799461252,8390,60,3600,0,1,0,0,0,1,14,5,False,False,False,False,False,False,True,-1,yes,1
9.259130536145614,10500,40,1600,0,1,0,0,0,1,14,5,False,False,False,False,True,False,False,-1,yes,1
8.831565879121063,6847,57,3249,0,0,1,0,0,0,14,5,False,False,False,False,False,True,True,-1,yes,1
9.548810611260068,14028,51,2601,0,1,0,0,0,1,14,5,False,False,False,False,False,False,True,-1,yes,1
9.404178688897805,12139,41,1681,0,1,0,0,0,1,14,5,False,False,False,False,False,False,False,-1,yes,1
9.015784277513886,8232,41,1681,0,1,0,0,0,1,15,5,False,False,False,False,False,False,True,-1,yes,1
